,Correct Answer,Rombos-LLM-V2.5-Qwen-32b-scores,Rombos-LLM-V2.5-Qwen-32b-scores (Revised % Concordant),oxyge1-33B-scores,oxyge1-33B-scores (Revised % Concordant),Lamarck-14B-v0.6,Lamarck-14B-v0.6 (Revised % Concordant),ultiima-32B-scores,ultiima-32B-scores (Revised % Concordant),TheBeagle-v2beta-32B-MGS-scores,TheBeagle-v2beta-32B-MGS-scores (Revised % Concordant),Qwentile2.5-32B-Instruct-scores,Qwentile2.5-32B-Instruct-scores (Revised % Concordant)
0,A,E,0.75,B,0.75,B,1.0,B,0.5,E,0.75,C,0.5
1,B,B,0.5,B,0.5,B,1.0,B,0.75,D,1.0,C,0.75
2,A,A,0.75,B,0.75,E,1.0,A,1.0,B,0.75,D,0.75
3,D,D,1.0,B,0.5,A,0.5,C,1.0,A,1.0,B,0.75
4,E,C,1.0,E,0.5,A,1.0,E,1.0,E,1.0,C,1.0
5,C,B,0.75,E,0.25,E,1.0,C,0.75,E,1.0,B,0.5
6,A,C,0.5,E,0.75,D,0.75,E,0.5,E,0.75,A,1.0
7,A,C,0.5,E,1.0,B,1.0,A,0.75,B,1.0,D,1.0
8,C,C,1.0,D,0.75,C,0.5,C,1.0,E,1.0,B,0.75
9,B,E,0.5,G,1.0,D,1.0,B,0.5,E,0.75,C,1.0
10,F,E,0.75,F,1.0,F,0.75,F,0.75,B,0.5,D,0.5
11,C,C,1.0,E,1.0,D,1.0,C,0.75,B,1.0,A,1.0
12,B,A,1.0,E,0.25,C,1.0,E,0.75,C,0.75,A,0.75
13,B,D,0.5,E,1.0,A,1.0,E,0.5,E,1.0,D,0.5
14,E,B,0.5,D,1.0,E,0.75,E,1.0,E,0.75,A,1.0
15,D,B,0.75,E,1.0,B,0.75,E,0.5,E,0.5,B,0.25
16,D,D,1.0,F,0.5,F,0.75,D,1.0,D,1.0,C,0.5
17,A,D,1.0,C,1.0,E,0.75,E,1.0,E,0.75,D,0.75
18,D,B,1.0,C,1.0,D,0.5,E,0.5,A,0.5,E,0.5
